route_id,direction_label,stop_code,stop_name,stop_sequence
1,North,tfgr,t.f. green airport,1
1,North,shwa,warwick ave. at shaw's (on-street),2
1,North,shal,shaw's (warwick ave. - warwick),3
1,North,bdcl,broad city line,4
1,North,rihe,r.i. hospital (eddy st. entrance),5
1,North,kepl,kennedy plaza - providence,6
1,North,tuth,tunnel & thayer,7
1,North,hool,hope & olney,8
1,North,horo,hope & rochambeau,9
1,North,slmi,slater mill (main & roosevelt),10
1,North,maro,pawtucket transit ctr (main & roosevelt),11
1,North,bebr,benefit & broadway,12
1,North,soas,south attleboro train station,13
1,South,soas,south attleboro train station,1
1,South,bebr,benefit & broadway,2
1,South,maro,pawtucket transit ctr (main & roosevelt),3
1,South,horo,hope & rochambeau,4
1,South,hool,hope & olney,5
1,South,tuth,tunnel & thayer,6
1,South,kepl,kennedy plaza - providence,7
1,South,rihe,r.i. hospital (eddy st. entrance),8
1,South,bdcl,broad city line,9
1,South,shal,shaw's (warwick ave. - warwick),10
1,South,shwa,warwick ave. at shaw's (on-street),11
1,South,tfgr,t.f. green airport,12
3,Inbound,oasu,oakland beach & suburban pkwy,1
3,Inbound,wasa,meadowbrook (warwick & sandy lane),2
3,Inbound,waba,warwick neck & barton,3
3,Inbound,coni,conimicut (west shore & beach),4
3,Inbound,hofo,warwick & west shore,5
3,Inbound,pabr,pawtuxet bridge,6
3,Inbound,waps,warwick & post,7
3,Inbound,nobr,norwood & broad,8
3,Inbound,riho,rhode island hospital,9
3,Inbound,kepl,kennedy plaza - providence,10
3,Outbound,kepl,kennedy plaza - providence,1
3,Outbound,riho,rhode island hospital,2
3,Outbound,nobr,norwood & broad,3
3,Outbound,pabr,pawtuxet bridge,4
3,Outbound,waps,warwick & post,5
3,Outbound,hofo,warwick & west shore,6
3,Outbound,coni,conimicut (west shore & beach),7
3,Outbound,waba,warwick neck & barton,8
3,Outbound,wasa,meadowbrook (warwick & sandy lane),9
3,Outbound,oasu,oakland beach & suburban pkwy,10
6,Inbound,rwzo,roger williams park zoo,1
6,Inbound,coho,colony house via prairie,2
6,Inbound,prth,prairie & thurbers,3
6,Inbound,ccrp,c.c.r.i. providence campus,4
6,Inbound,popr,point & prairie,5
6,Inbound,kepl,kennedy plaza - providence,6
6,Outbound,kepl,kennedy plaza - providence,1
6,Outbound,popr,point & prairie,2
6,Outbound,ccrp,c.c.r.i. providence campus,3
6,Outbound,prth,prairie & thurbers,4
6,Outbound,coho,colony house via prairie,5
6,Outbound,rwzo,roger williams park zoo,6
8,Inbound,bute,buttonwoods terrace plaza (parking lot),1
8,Inbound,buws,buttonwoods & west shore,2
8,Inbound,wico,west shore & strawberry field,3
8,Inbound,kegi,greenwood church (kenyon & gillmore),4
8,Inbound,jema,jefferson & main,5
8,Inbound,je95,jefferson & i-95,6
8,Inbound,conv,rhode island convention center,7
8,Inbound,weem,westminster & empire,8
8,Inbound,weed,weybosset & eddy,9
8,Inbound,tuhe,turk's head building,10
8,Inbound,exte,exchange terrace (stop X),11
8,Outbound,conv,rhode island convention center,1
8,Outbound,weem,westminster & empire,2
8,Outbound,weed,weybosset & eddy,3
8,Outbound,tuhe,turk's head building,4
8,Outbound,exte,exchange terrace (stop X),5
8,Outbound,je95,jefferson & i-95,6
8,Outbound,jema,jefferson & main,7
8,Outbound,kegi,greenwood church (kenyon & gillmore),8
8,Outbound,wico,west shore & strawberry field,9
8,Outbound,buws,buttonwoods & west shore,10
8,Outbound,bute,buttonwoods terrace plaza (parking lot),11
9,Inbound,pasc,sayles avenue bus shelter,1
9,Inbound,harr,chapel & main,2
9,Inbound,mapl,mapleville (central & old victory),3
9,Inbound,chep,rte. 44 & douglas hook,4
9,Inbound,grrt,greenville (rtes. 44 & 116),5
9,Inbound,stss,stop&shop (putnam pike - smithfield),6
9,Inbound,copr,park&ride (commerce st. - smithfield),7
9,Inbound,conv,rhode island convention center,8
9,Inbound,weem,westminster & empire,9
9,Inbound,weed,weybosset & eddy,10
9,Inbound,tuhe,turk's head building,11
9,Inbound,exte,exchange terrace (stop X),12
9,Outbound,conv,rhode island convention center,1
9,Outbound,weem,westminster & empire,2
9,Outbound,weed,weybosset & eddy,3
9,Outbound,tuhe,turk's head building,4
9,Outbound,exte,exchange terrace (stop X),5
9,Outbound,stss,stop&shop (putnam pike - smithfield),6
9,Outbound,copr,park&ride (commerce st. - smithfield),7
9,Outbound,grrt,greenville (rtes. 44 & 116),8
9,Outbound,chep,rte. 44 & douglas hook,9
9,Outbound,mapl,mapleville (central & old victory),10
9,Outbound,harr,chapel & main,11
9,Outbound,pasc,sayles avenue bus shelter,12
10,Inbound,chop,chopmist hill fire station,1
10,Inbound,rtro,danielson pike & rockland,2
10,Inbound,hare,hartford & reservoir,3
10,Inbound,haat,hartford & atwood,4
10,Inbound,weem,westminster & empire,5
10,Inbound,weed,weybosset & eddy,6
10,Inbound,tuhe,turk's head building,7
10,Inbound,exte,exchange terrace (stop X),8
