shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10078,41.877280,-71.383360,10001
10078,41.877230,-71.383390,10002
10078,41.876961,-71.383560,10003
10078,41.876830,-71.383690,10004
10078,41.876961,-71.383860,10005
10078,41.877071,-71.384050,10006
10078,41.877140,-71.384140,10007
10078,41.877210,-71.384170,10008
10078,41.877291,-71.384190,10009
10078,41.877441,-71.384160,10010
10078,41.877841,-71.384010,10011
10078,41.878171,-71.383910,10012
10078,41.878171,-71.383910,10013
10078,41.878171,-71.383910,20001
10078,41.878401,-71.383880,20002
10078,41.878541,-71.383870,20003
10078,41.878680,-71.383880,20004
10078,41.879421,-71.383920,20005
10078,41.879890,-71.383930,20006
10078,41.879891,-71.384874,20007
10078,41.879891,-71.384874,30001
10078,41.879890,-71.385070,30002
10078,41.879921,-71.385220,30003
10078,41.879910,-71.385540,30004
10078,41.879881,-71.385640,30005
10078,41.879770,-71.386000,30006
10078,41.879631,-71.386360,30007
10078,41.879531,-71.386600,30008
10078,41.879511,-71.386650,30009
10078,41.879511,-71.386650,40001
10078,41.879511,-71.386650,40002
10078,41.879440,-71.386770,40003
10078,41.879320,-71.386980,40004
10078,41.879151,-71.387240,40005
10078,41.879091,-71.387350,40006
10078,41.879011,-71.387490,40007
10078,41.878951,-71.387600,40008
10078,41.878820,-71.387730,40009
10078,41.878441,-71.387430,40010
10078,41.878425,-71.387419,40011
10078,41.878425,-71.387419,50001
10078,41.878280,-71.387310,50002
10078,41.878121,-71.387190,50003
10078,41.878020,-71.387140,50004
10078,41.877790,-71.387100,50005
10078,41.877511,-71.387130,50006
10078,41.877151,-71.387170,50007
10078,41.875940,-71.387310,50008
10078,41.875906,-71.387313,50009
10078,41.875906,-71.387313,60001
10078,41.875740,-71.387330,60002
10078,41.875331,-71.387400,60003
10078,41.874951,-71.387440,60004
10078,41.874357,-71.387498,60005
10078,41.874357,-71.387498,70001
10078,41.874241,-71.387510,70002
10078,41.873870,-71.387540,70003
10078,41.873521,-71.387570,70004
10078,41.873191,-71.387600,70005
10078,41.873001,-71.387620,70006
10078,41.872651,-71.387660,70007
10078,41.872530,-71.387672,70008
10078,41.872530,-71.387672,80001
10078,41.872340,-71.387690,80002
10078,41.871886,-71.387744,80003
10078,41.871886,-71.387744,90001
10078,41.871751,-71.387760,90002
10078,41.871060,-71.387840,90003
10078,41.870816,-71.387854,90004
10078,41.870816,-71.387854,100001
10078,41.870711,-71.387860,100002
10078,41.870400,-71.387850,100003
10078,41.870190,-71.387770,100004
10078,41.870020,-71.387660,100005
10078,41.869931,-71.387580,100006
10078,41.869591,-71.387280,100007
10078,41.869390,-71.387140,100008
