stop_id,route_ids
5,95
10,95
20,95
25,95
50,14
55,14
60,14
65,14
75,14
80,14
85,14
90,14
95,14
110,14
115,14
120,14
125,14
130,"14,66,65"
135,14
140,14
150,14
155,14
170,14
185,14
190,14
250,14
255,14
290,14
295,14
300,14
305,14
310,66
315,66
335,66
340,66
370,66
375,66
380,14
390,66
395,66
405,66
415,66
425,66
430,66
435,65
440,"66,65"
445,66
450,14
455,"66,65"
460,14
465,14
475,66
480,14
485,66
495,65
500,14
505,66
520,65
525,14
535,95
540,66
545,66
550,66
560,14
565,14
570,66
585,66
595,66
605,67
615,66
630,14
635,14
640,14
645,14
650,67
655,67
665,14
670,66
685,66
730,67
735,67
740,67
745,67
750,67
755,67
760,67
775,67
780,14
785,14
790,67
805,66
815,66
820,67
830,67
845,67
850,67
875,67
880,67
885,14
890,14
905,66
910,67
915,67
925,66
935,66
940,67
950,67
955,67
965,67
970,67
975,14
980,14
985,67
1010,67
1030,66
1035,66
1040,67
1055,14
1060,14
1070,66
1075,"64,66"
1080,66
1085,"64,66"
1095,67
1100,67
1120,"64,66"
1125,"66,64"
1140,"66,64"
1145,67
1150,67
1155,"66,64"
1165,14
1175,"66,64"
1180,"64,66"
1185,"64,66"
1190,"64,66"
1205,"66,64,69"
1210,67
1215,67
1225,"66,64"
1230,"64,66,69"
1245,14
1250,14
1295,14
1300,67
1305,67
1315,67
1330,67
1340,"60,63,67"
1345,"60,63"
1365,"60,63"
1370,"60,63"
1375,"60,63"
1380,60
1381,67
1382,63
1383,64
1384,14
1395,"14,64"
1400,"14,64"
1420,64
1430,"60,63"
1435,"60,63"
1450,"14,64"
1455,"14,64"
1460,65
1465,64
1475,"60,63"
1480,"60,63"
1495,"14,64"
1505,"14,64"
1510,"60,63"
1515,"14,64"
1520,"14,64"
1525,"14,64"
1526,"14,64"
1530,64
1535,"14,64"
1540,"60,63"
1545,"14,64"
1555,"60,63"
1565,"14,64"
1575,"14,64"
1590,"60,63"
1595,"60,63"
1600,64
1605,64
1610,"14,64"
1615,"14,64"
1625,"60,63"
1635,"60,63"
1645,64
1650,64
1660,"14,64"
1665,"60,63"
1670,"60,63"
1685,65
1695,64
1705,"60,63"
1715,64
1720,"60,63"
1725,"14,64"
1730,"14,64"
1735,"60,63"
1745,"14,64"
1755,64
1760,63
1770,63
1775,"64,63"
1776,14
1777,14
1780,63
1810,63
1820,60
1830,63
1835,"64,63"
1850,63
1860,63
1865,"64,63"
1870,"64,63"
1875,"14,64"
1880,"14,64"
1890,"64,63"
1895,"64,63"
1900,60
1905,63
1915,63
