stop_id,stop_name,stop_lat,stop_lon
5,WESTERLY TOWN HALL,41.377,-71.829771
10,GROVE NS WILCOX,41.378328,-71.82668
20,WESTERLY RAILROAD STATION,41.381108,-71.829808
25,HIGH FS GROVE,41.381038,-71.82572
50,BOON OPP PERKINS,41.424357,-71.46062
55,BOON FS PERKINS,41.424363,-71.460504
60,S PIER OPP SUMMER,41.424339,-71.461892
65,S PIER FS SUMMER,41.424602,-71.462071
75,S PIER NS FRANK LOW,41.425304,-71.464052
80,S PIER NS FRANK LOW,41.425305,-71.463625
85,BOON NS CONGDON,41.425489,-71.459991
90,BOON NS CONGDON,41.425519,-71.460099
95,S PIER OPP 172 S PIER,41.426203,-71.467536
110,BOON AT 126 BOON,41.427019,-71.459391
115,S PIER FS 172 S PIER,41.426116,-71.467565
120,BOON FS RODMAN,41.427138,-71.45946
125,S PIER AT NARRAGANSETT MIDDLE SCHOOL,41.427791,-71.472088
130,SALT POND SHOPPING PLAZA (STOP&SHOP),41.428327,-71.483315
135,BOON NS CENTRAL,41.42863,-71.458762
140,BOON NS CENTRAL,41.429057,-71.458806
150,S PIER OPP NARRAGANSETT MIDDLE SCHOOL,41.42755,-71.471847
155,S PIER NS LAKEWOOD,41.42984,-71.47616
170,S PIER OPP AVICE,41.430334,-71.479041
185,KINGSTOWN AT LIBRARY,41.431188,-71.460005
190,KINGSTOWN FS CASWELL,41.431088,-71.460146
250,BOSTON NECK AT TOWN BEACH SOUTH PAVILION,41.435122,-71.456388
255,BOSTON NECK - NORTH BEACH SOUTH PAVILION,41.435296,-71.456552
290,BOSTON NECK AT NARR TOWN BEACH NORTH LOT,41.43684,-71.454786
295,BOSTON NECK - NORTH BEACH ENTRANCE,41.437274,-71.454592
300,BOSTON NECK OPP WOOD,41.440814,-71.450822
305,BOSTON NECK - NORTH BEACH CABANAS GATE 7,41.438177,-71.453131
310,MAIN AT 399 MAIN,41.437288,-71.501033
315,MAIN AT 396 MAIN,41.437213,-71.500964
335,MAIN OPP 249-255 MAIN,41.440297,-71.49728
340,MAIN OPP ROBINSON,41.438867,-71.498868
370,MAIN OPP CLEVELAND,41.440945,-71.493886
375,MAIN NS CHAPPELL,41.441236,-71.490843
380,BOSTON NECK FS WOOD,41.440426,-71.451033
390,MAIN FS COLUMBIA,41.440837,-71.49579
395,MAIN FS CLEVELAND,41.440996,-71.494115
405,MAIN NS HOLLEY,41.441449,-71.489655
415,MAIN NS RT 108,41.441356,-71.489258
425,OLD TOWER HILL NS RT 108,41.441867,-71.486656
430,OLD TOWER HILL FS NARRAGANSETT,41.441923,-71.484458
435,OLD TOWER HILL NS KELLY WAY,41.442563,-71.480573
440,OLD TOWER HILL OPP CHAMBER OF COMMERCE,41.44239,-71.480569
445,HIGH AT 180 HIGH,41.441832,-71.502313
450,BOSTON NECK OPP STARR DR W,41.444056,-71.450569
455,WAKEFIELD MALL,41.443701,-71.483301
460,BOSTON NECK FS CASTLE,41.446304,-71.451148
465,BOSTON NECK NS STARR DR WEST,41.444039,-71.450734
475,HIGH FS TUCKER,41.445317,-71.502806
480,BOSTON NECK NS CASTLE,41.446272,-71.451315
485,HIGH FS OAKDELL,41.446838,-71.502613
495,RT 1 OPP WAKEFIELD MEADOWS,41.449051,-71.472449
500,BOSTON NECK FS STARR,41.447528,-71.451146
505,HIGH NS CHURCH,41.449313,-71.501386
520,RT 1 FS HAMPTON,41.448753,-71.47328
525,BOSTON NECK OPP 483 BOSTON NECK,41.455159,-71.440324
535,ASHAWAY PARK & RIDE (HOPKINTON),41.450174,-71.78608
540,HIGH FS RT 108,41.450552,-71.500738
545,HIGH NS RT 108,41.4506,-71.500577
550,KINGSTOWN NS KERSEY RD,41.452806,-71.501864
560,BOSTON NECK FS OLD BOSTON NECK,41.453323,-71.442541
565,BOSTON NECK NS OLD BOSTON NECK,41.458531,-71.43584
570,KINGSTOWN OPP 1428 KINGSTOWN RD,41.454184,-71.505059
585,KINGSTOWN NS MEADOWBROOK WAY,41.45675,-71.508331
595,KINGSTOWN NS SAMUEL RODMAN,41.459516,-71.508756
605,BELLEVUE OPP MARBLE HOUSE,41.46253,-71.306669
615,KINGSTOWN NS SAUGUATUCKET,41.462169,-71.509323
630,BOSTON NECK AT 483 BOSTON NECK,41.454983,-71.440326
635,BOSTON NECK OPP ANAWAN CLIFF,41.461219,-71.433642
640,BOSTON NECK OPP HILLVIEW,41.464374,-71.432912
645,BOSTON NECK AT 750 BOSTON NECK,41.46719,-71.433588
650,BELLEVUE OPP 541 BELLEVUE,41.465772,-71.306883
655,BELLEVUE OPP ROSECLIFF,41.465496,-71.306933
665,BOSTON NECK NS WEST BAY,41.469251,-71.433902
670,KINGSTOWN NS GREENWOOD,41.467617,-71.512248
685,KINGSTOWN OPP GREENWOOD,41.467638,-71.512128
730,RUGGLES OPP STONEACRE,41.468123,-71.305747
735,RUGGLES OPP 204 RUGGLES,41.468284,-71.304332
740,RUGGLES AT STONEACRE HOUSE,41.468206,-71.30565
