stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_associated_place
      5,,"WESTERLY TOWN HALL",,  41.377000, -71.829771,,,0,,
     10,,"GROVE NS WILCOX",,  41.378328, -71.826680,,,0,,
     20,,"WESTERLY RAILROAD STATION",,  41.381108, -71.829808,,,0,,west
     25,,"HIGH FS GROVE",,  41.381039, -71.825720,,,0,,
     50,,"BOON OPP PERKINS",,  41.424357, -71.460620,,,0,,
     55,,"BOON FS PERKINS",,  41.424363, -71.460504,,,0,,
     60,,"S PIER OPP SUMMER",,  41.424339, -71.461892,,,0,,
     65,,"S PIER FS SUMMER",,  41.424603, -71.462071,,,0,,
     75,,"S PIER NS FRANK LOW",,  41.425304, -71.464052,,,0,,
     80,,"S PIER NS FRANK LOW",,  41.425305, -71.463625,,,0,,
     85,,"BOON NS CONGDON",,  41.425490, -71.459991,,,0,,
     90,,"BOON NS CONGDON",,  41.425519, -71.460099,,,0,,
     95,,"S PIER OPP 172 S PIER",,  41.426203, -71.467536,,,0,,
    110,,"BOON AT 126 BOON",,  41.427019, -71.459391,,,0,,
    115,,"S PIER FS 172 S PIER",,  41.426116, -71.467565,,,0,,
    120,,"BOON FS RODMAN",,  41.427139, -71.459460,,,0,,
    125,,"S PIER AT NARRAGANSETT MIDDLE SCHOOL",,  41.427791, -71.472088,,,0,,
    130,,"SALT POND SHOPPING PLAZA (STOP&SHOP)",,  41.428327, -71.483315,,,0,,narr
    135,,"BOON NS CENTRAL",,  41.428631, -71.458762,,,0,,
    140,,"BOON NS CENTRAL",,  41.429057, -71.458806,,,0,,
    150,,"S PIER OPP NARRAGANSETT MIDDLE SCHOOL",,  41.427550, -71.471847,,,0,,
    155,,"S PIER NS LAKEWOOD",,  41.429840, -71.476160,,,0,,
    170,,"S PIER OPP AVICE",,  41.430334, -71.479041,,,0,,
    185,,"KINGSTOWN AT LIBRARY",,  41.431188, -71.460005,,,0,,
    190,,"KINGSTOWN FS CASWELL",,  41.431088, -71.460146,,,0,,
    250,,"BOSTON NECK AT TOWN BEACH SOUTH PAVILION",,  41.435122, -71.456388,,,0,,nabe
    255,,"BOSTON NECK - NORTH BEACH SOUTH PAVILION",,  41.435296, -71.456552,,,0,,nabe
    290,,"BOSTON NECK AT NARR TOWN BEACH NORTH LOT",,  41.436840, -71.454786,,,0,,
    295,,"BOSTON NECK - NORTH BEACH ENTRANCE",,  41.437274, -71.454592,,,0,,
    300,,"BOSTON NECK OPP WOOD",,  41.440815, -71.450822,,,0,,
    305,,"BOSTON NECK - NORTH BEACH CABANAS GATE 7",,  41.438178, -71.453131,,,0,,
    310,,"MAIN AT 399 MAIN",,  41.437289, -71.501033,,,0,,
    315,,"MAIN AT 396 MAIN",,  41.437213, -71.500964,,,0,,
    335,,"MAIN OPP 249-255 MAIN",,  41.440298, -71.497280,,,0,,
    340,,"MAIN OPP ROBINSON",,  41.438867, -71.498868,,,0,,
    370,,"MAIN OPP CLEVELAND",,  41.440945, -71.493886,,,0,,
    375,,"MAIN NS CHAPPELL",,  41.441236, -71.490843,,,0,,
    380,,"BOSTON NECK FS WOOD",,  41.440427, -71.451033,,,0,,
    390,,"MAIN FS COLUMBIA",,  41.440837, -71.495790,,,0,,
    395,,"MAIN FS CLEVELAND",,  41.440996, -71.494115,,,0,,
    405,,"MAIN NS HOLLEY",,  41.441449, -71.489655,,,0,,
    415,,"MAIN NS RT 108",,  41.441356, -71.489258,,,0,,
    425,,"OLD TOWER HILL NS RT 108",,  41.441867, -71.486656,,,0,,
    430,,"OLD TOWER HILL FS NARRAGANSETT",,  41.441923, -71.484458,,,0,,
    435,,"OLD TOWER HILL NS KELLEY",,  41.442563, -71.480573,,,0,,
    440,,"OLD TOWER HILL OPP CHAMBER OF COMMERCE",,  41.442390, -71.480569,,,0,,
    445,,"HIGH AT 180 HIGH",,  41.441832, -71.502313,,,0,,
    450,,"BOSTON NECK OPP STARR DRIVE W",,  41.444056, -71.450569,,,0,,
    455,,"WAKEFIELD MALL",,  41.443701, -71.483301,,,0,,wake
    460,,"BOSTON NECK FS CASTLE",,  41.446304, -71.451148,,,0,,
    465,,"BOSTON NECK NS STARR DRIVE W",,  41.444039, -71.450734,,,0,,
    475,,"HIGH FS TUCKER",,  41.445317, -71.502806,,,0,,
    480,,"BOSTON NECK NS CASTLE",,  41.446273, -71.451315,,,0,,
    485,,"HIGH FS OAKDELL",,  41.446838, -71.502613,,,0,,
    495,,"RT 1 OPP WAKEFIELD MEADOWS",,  41.449051, -71.472449,,,0,,
    500,,"BOSTON NECK FS STARR",,  41.447528, -71.451146,,,0,,
    505,,"HIGH NS CHURCH",,  41.449314, -71.501386,,,0,,
    520,,"RT 1 FS HAMPTON",,  41.448753, -71.473280,,,0,,
    525,,"BOSTON NECK OPP 483 BOSTON NECK",,  41.455159, -71.440324,,,0,,
    535,,"ASHAWAY PARK&RIDE (HOPKINTON)",,  41.450174, -71.786080,,,0,,asha
    540,,"HIGH FS RT 108",,  41.450553, -71.500738,,,0,,petr
    545,,"HIGH NS RT 108",,  41.450600, -71.500577,,,0,,
    550,,"KINGSTOWN before SWEET FERN",,  41.452512, -71.501975,,,0,,
    560,,"BOSTON NECK FS OLD BOSTON NECK",,  41.453323, -71.442541,,,0,,
    565,,"BOSTON NECK NS OLD BOSTON NECK",,  41.458531, -71.435840,,,0,,
