route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
55,hjaf1701-Weekday-2-JA2017-0000100,2418566,"KENNEDY PLAZA (PROVIDENCE)",0,329297,550038
55,hjaf1701-Weekday-2-JA2017-0000100,2418567,"SHAW'S (SMITHFIELD RD) via ADMIRAL ST",1,329297,550040
55,hjaf1701-Weekday-2-JA2017-0000100,2418568,"SHAW'S (SMITHFIELD RD) via ADMIRAL ST",1,329297,550040
60,hjaf1701-Weekday-2-JA2017-0000100,2418570,"NEWPORT via WEST MAIN",1,329296,600104
66,hjaf1701-Weekday-2-JA2017-0000100,2418572,"KENNEDY PLAZA (PROVIDENCE)",0,329294,660109
66,hjaf1701-Weekday-2-JA2017-0000100,2418573,"KENNEDY PLAZA (PROVIDENCE)",0,329295,660109
66,hjaf1701-Weekday-2-JA2017-0000100,2418574,"KENNEDY PLAZA (PROVIDENCE)",0,329295,660109
66,hjaf1701-Weekday-2-JA2017-0000100,2418575,"URI-KINGSTON",1,329295,660113
66,hjaf1701-Weekday-2-JA2017-0000100,2418576,"KENNEDY PLAZA (PROVIDENCE)",0,329293,660109
66,hjaf1701-Weekday-2-JA2017-0000100,2418577,"URI-KINGSTON",1,329293,660113
1,hjaf1701-Weekday-2-JA2017-0000100,2418578,"KENNEDY PLAZA then BROAD STREET",1,329298,10053
11,hjaf1701-Weekday-2-JA2017-0000100,2418579,"BROAD STREET",1,329298,110025
60,hjaf1701-Weekday-2-JA2017-0000100,2418580,"NEWPORT via WEST MAIN",1,329299,600104
50,hjaf1701-Weekday-2-JA2017-0000100,2418591,"KENNEDY PLAZA (PROVIDENCE)",0,329301,500038
50,hjaf1701-Weekday-2-JA2017-0000100,2418592,"BRYANT UNIVERSITY",1,329300,500042
50,hjaf1701-Weekday-2-JA2017-0000100,2418593,"BRYANT UNIVERSITY",1,329301,500042
50,hjaf1701-Weekday-2-JA2017-0000100,2418594,"BRYANT UNIVERSITY",1,329300,500042
50,hjaf1701-Weekday-2-JA2017-0000100,2418595,"BRYANT UNIVERSITY",1,329301,500042
50,hjaf1701-Weekday-2-JA2017-0000100,2418596,"KENNEDY PLAZA (PROVIDENCE)",0,329300,500038
50,hjaf1701-Weekday-2-JA2017-0000100,2418597,"KENNEDY PLAZA (PROVIDENCE)",0,329301,500038
4,hjaf1701-Weekday-2-JA2017-0000100,2418604,"OLNEYVILLE SQUARE then HARTFORD AVENUE",0,329303,40053
28,hjaf1701-Weekday-2-JA2017-0000100,2418605,"HARTFORD AVENUE & KILLINGLY STREET",1,329302,280021
4,hjaf1701-Weekday-2-JA2017-0000100,2418606,"DYER / POCASSET via OLNEYVILLE SQUARE",0,329302,40052
17,hjaf1701-Weekday-2-JA2017-0000100,2418607,"DYER / POCASSET via OLNEYVILLE SQUARE",1,329303,170045
60,hjam1701-Weekday-1-JA2017-1111100,2418612,"NEWPORT via WEST MAIN",1,329309,600048
14,hjam1701-Weekday-1-JA2017-1111100,2418614,"PROVIDENCE via T. F. GREEN AIRPORT",0,329310,140082
14,hjam1701-Weekday-1-JA2017-1111100,2418615,"PROVIDENCE via T. F. GREEN AIRPORT",0,329339,140082
14,hjam1701-Weekday-1-JA2017-1111100,2418616,"PROVIDENCE via T. F. GREEN AIRPORT",0,329304,140082
14,hjam1701-Weekday-1-JA2017-1111100,2418617,"PROVIDENCE via T. F. GREEN AIRPORT",0,329306,140082
14,hjam1701-Weekday-1-JA2017-1111100,2418618,"PROVIDENCE via T. F. GREEN AIRPORT",0,329308,140075
14,hjam1701-Weekday-1-JA2017-1111100,2418619,"PROVIDENCE via T. F. GREEN AIRPORT",0,329308,140080
14,hjam1701-Weekday-1-JA2017-1111100,2418620,"PROVIDENCE via T. F. GREEN AIRPORT",0,329310,140082
14,hjam1701-Weekday-1-JA2017-1111100,2418621,"PROVIDENCE via T. F. GREEN AIRPORT",0,329309,140081
14,hjam1701-Weekday-1-JA2017-1111100,2418622,"PROVIDENCE via T. F. GREEN AIRPORT",0,329305,140082
14,hjam1701-Weekday-1-JA2017-1111100,2418623,"PROVIDENCE via T. F. GREEN AIRPORT",0,329307,140076
14,hjam1701-Weekday-1-JA2017-1111100,2418624,"PROVIDENCE via T. F. GREEN AIRPORT",0,329306,140075
14,hjam1701-Weekday-1-JA2017-1111100,2418625,"PROVIDENCE via T. F. GREEN AIRPORT",0,329310,140075
14,hjam1701-Weekday-1-JA2017-1111100,2418626,"PROVIDENCE via T. F. GREEN AIRPORT",0,329304,140075
14,hjam1701-Weekday-1-JA2017-1111100,2418627,"PROVIDENCE via T. F. GREEN AIRPORT",0,329305,140075
14,hjam1701-Weekday-1-JA2017-1111100,2418628,"NARRAGANSETT via T. F. GREEN AIRPORT",1,329306,140072
14,hjam1701-Weekday-1-JA2017-1111100,2418629,"NARRAGANSETT via T. F. GREEN AIRPORT",1,329310,140072
14,hjam1701-Weekday-1-JA2017-1111100,2418630,"NARRAGANSETT via T. F. GREEN AIRPORT",1,329308,140072
14,hjam1701-Weekday-1-JA2017-1111100,2418631,"NEWPORT via T. F. GREEN AIRPORT",1,329310,140068
14,hjam1701-Weekday-1-JA2017-1111100,2418632,"NEWPORT via T. F. GREEN AIRPORT",1,329305,140068
14,hjam1701-Weekday-1-JA2017-1111100,2418633,"NEWPORT via T. F. GREEN AIRPORT",1,329307,140070
14,hjam1701-Weekday-1-JA2017-1111100,2418634,"NEWPORT via T. F. GREEN AIRPORT",1,329306,140070
14,hjam1701-Weekday-1-JA2017-1111100,2418635,"NEWPORT via T. F. GREEN AIRPORT",1,329308,140070
14,hjam1701-Weekday-1-JA2017-1111100,2418636,"NEWPORT via T. F. GREEN AIRPORT",1,329304,140070
